[Header]
"Application Name,LabSolutions"
"2.09900,-138"
"2.10267,-138"
"2.10633,-139"
"2.11000,-139"
"2.11367,-138"
"2.11733,-137"
"2.12100,-137"
"2.12467,-136"
"2.12833,-135"
"2.13200,-134"
"2.13567,-134"
"2.13933,-134"
"2.14300,-134"
"2.14667,-134"
"2.15033,-133"
"2.15400,-133"
"2.15767,-133"
"2.16133,-132"
"2.16500,-132"
"2.16867,-132"
"2.17233,-131"
"2.17600,-130"
"2.17967,-129"
"2.18333,-129"
"2.18700,-128"
"2.19067,-127"
"2.19433,-127"
"2.19800,-126"
"2.20167,-127"
"2.20533,-127"
"2.20900,-127"
"2.21267,-127"
"2.21633,-127"
"2.22000,-126"
"2.22367,-125"
"2.22733,-125"
"2.23100,-124"
"2.23467,-124"
"2.23833,-124"
"2.24200,-124"
"2.24567,-124"
"2.24933,-124"
"2.25300,-124"
"2.25667,-124"
"2.26033,-124"
"2.26400,-124"
"2.26767,-124"
"2.27133,-124"
"2.27500,-123"
"2.27867,-123"
"2.28233,-122"
"2.28600,-121"
"2.28967,-120"
"2.29333,-120"
"2.29700,-119"
"2.30067,-119"
"2.30433,-119"
"2.30800,-119"
"2.31167,-119"
"2.31533,-118"
"2.31900,-118"
"2.32267,-117"
"2.32633,-116"
"2.33000,-115"
"2.33367,-114"
"2.33733,-114"
"2.34100,-114"
"2.34467,-115"
"2.34833,-116"
"2.35200,-116"
"2.35567,-117"
"2.35933,-117"
"2.36300,-117"
"2.36667,-116"
"2.37033,-114"
"2.37400,-111"
"2.37767,-108"
"2.38133,-104"
"2.38500,-99"
"2.38867,-94"
"2.39233,-89"
"2.39600,-84"
"2.39967,-79"
"2.40333,-74"
"2.40700,-69"
"2.41067,-65"
"2.41433,-60"
"2.41800,-56"
"2.42167,-52"
"2.42533,-49"
"2.42900,-46"
"2.43267,-43"
"2.43633,-40"
"2.44000,-37"
"2.44367,-34"
"2.44733,-31"
"2.45100,-29"
"2.45467,-27"
"2.45833,-25"
"2.46200,-23"
"2.46567,-21"
"2.46933,-19"
"2.47300,-18"
"2.47667,-17"
"2.48033,-16"
"2.48400,-15"
"2.48767,-14"
"2.49133,-13"
"2.49500,-11"
"2.49867,-10"
"2.50233,-9"
"2.50600,-9"
"2.50967,-8"
"2.51333,-8"
"2.51700,-7"
"2.52067,-7"
"2.52433,-6"
"2.52800,-6"
"2.53167,-5"
"2.53533,-5"
"2.53900,-4"
"2.54267,-4"
"2.54633,-3"
"2.55000,-3"
"2.55367,-2"
"2.55733,-2"
"2.56100,-2"
"2.56467,-2"
"2.56833,-2"
"2.57200,-2"
"2.57567,-2"
"2.57933,-2"
"2.58300,-2"
"2.58667,-2"
"2.59033,-1"
"2.59400,-1"
"2.59767,0"
"2.60133,1"
"2.60500,2"
"2.60867,4"
"2.61233,5"
"2.61600,5"
"2.61967,6"
"2.62333,5"
"2.62700,5"
"2.63067,5"
"2.63433,5"
"2.63800,5"
"2.64167,5"
"2.64533,5"
"2.64900,6"
"2.65267,6"
"2.65633,6"
"2.66000,7"
"2.66367,7"
"2.66733,8"
"2.67100,8"
"2.67467,8"
"2.67833,8"
"2.68200,9"
"2.68567,9"
"2.68933,9"
"2.69300,9"
"2.69667,9"
"2.70033,9"
"2.70400,10"
"2.70767,10"
"2.71133,11"
"2.71500,11"
"2.71867,11"
"2.72233,10"
"2.72600,10"
"2.72967,10"
"2.73333,10"
"2.73700,10"
"2.74067,10"
"2.74433,10"
"2.74800,10"
"2.75167,10"
"2.75533,10"
"2.75900,11"
"2.76267,11"
"2.76633,11"
"2.77000,12"
"2.77367,12"
"2.77733,11"
"2.78100,11"
"2.78467,10"
"2.78833,10"
"2.79200,9"
"2.79567,9"
"2.79933,9"
"2.80300,9"
"2.80667,9"
"2.81033,9"
"2.81400,9"
"2.81767,9"
"2.82133,9"
"2.82500,9"
"2.82867,8"
"2.83233,6"
"2.83600,3"
"2.83967,-3"
"2.84333,-12"
"2.84700,-24"
"2.85067,-41"
"2.85433,-62"
"2.85800,-87"
"2.86167,-117"
"2.86533,-151"
"2.86900,-188"
"2.87267,-229"
"2.87633,-273"
"2.88000,-319"
"2.88367,-366"
"2.88733,-415"
"2.89100,-465"
"2.89467,-515"
"2.89833,-565"
"2.90200,-614"
"2.90567,-660"
"2.90933,-705"
"2.91300,-748"
"2.91667,-791"
"2.92033,-838"
"2.92400,-892"
"2.92767,-955"
"2.93133,-1019"
"2.93500,-1072"
"2.93867,-1103"
"2.94233,-1107"
"2.94600,-1085"
"2.94967,-1041"
"2.95333,-980"
"2.95700,-909"
"2.96067,-831"
"2.96433,-752"
"2.96800,-674"
"2.97167,-600"
"2.97533,-530"
"2.97900,-466"
"2.98267,-408"
"2.98633,-356"
"2.99000,-309"
"2.99367,-268"
"2.99733,-233"
"3.00100,-201"
"3.00467,-174"
"3.00833,-150"
"3.01200,-130"
"3.01567,-113"
"3.01933,-97"
"3.02300,-84"
"3.02667,-73"
"3.03033,-64"
"3.03400,-55"
"3.03767,-48"
"3.04133,-42"
"3.04500,-37"
"3.04867,-32"
"3.05233,-29"
"3.05600,-25"
"3.05967,-22"
"3.06333,-20"
"3.06700,-18"
"3.07067,-16"
"3.07433,-15"
"3.07800,-13"
"3.08167,-12"
"3.08533,-11"
"3.08900,-10"
"3.09267,-9"
"3.09633,-8"
"3.10000,-7"
"3.10367,-7"
"3.10733,-6"
"3.11100,-6"
"3.11467,-5"
"3.11833,-5"
"3.12200,-4"
"3.12567,-4"
"3.12933,-4"
"3.13300,-4"
"3.13667,-3"
"3.14033,-3"
"3.14400,-2"
"3.14767,-2"
"3.15133,-1"
"3.15500,-1"
"3.15867,-1"
"3.16233,-1"
"3.16600,-0"
"3.16967,-0"
"3.17333,-0"
"3.17700,0"
"3.18067,0"
"3.18433,0"
"3.18800,0"
"3.19167,0"
"3.19533,0"
"3.19900,0"
"3.20267,1"
"3.20633,1"
"3.21000,1"
"3.21367,1"
"3.21733,1"
"3.22100,1"
"3.22467,1"
"3.22833,1"
"3.23200,1"
"3.23567,1"
"3.23933,1"
"3.24300,1"
"3.24667,1"
"3.25033,1"
"3.25400,1"
"3.25767,1"
"3.26133,1"
"3.26500,1"
"3.26867,1"
"3.27233,2"
"3.27600,2"
"3.27967,2"
"3.28333,2"
"3.28700,3"
"3.29067,3"
"3.29433,3"
"3.29800,4"
"3.30167,4"
"3.30533,4"
"3.30900,4"
"3.31267,4"
"3.31633,4"
"3.32000,4"
"3.32367,5"
"3.32733,5"
"3.33100,5"
"3.33467,5"
"3.33833,5"
"3.34200,6"
"3.34567,6"
"3.34933,6"
"3.35300,6"
"3.35667,7"
"3.36033,7"
"3.36400,7"
"3.36767,7"
"3.37133,7"
"3.37500,7"
"3.37867,7"
"3.38233,7"
"3.38600,7"
"3.38967,7"
"3.39333,7"
"3.39700,7"
"3.40067,7"
"3.40433,8"
"3.40800,8"
"3.41167,8"
"3.41533,8"
"3.41900,8"
"3.42267,8"
"3.42633,8"
"3.43000,7"
"3.43367,7"
"3.43733,7"
"3.44100,7"
"3.44467,7"
"3.44833,7"
"3.45200,7"
"3.45567,7"
"3.45933,7"
"3.46300,7"
"3.46667,6"
"3.47033,6"
"3.47400,6"
"3.47767,6"
"3.48133,6"
"3.48500,5"
"3.48867,5"
"3.49233,5"
"3.49600,4"
"3.49967,4"
"3.50333,4"
"3.50700,3"
"3.51067,3"
"3.51433,3"
"3.51800,3"
"3.52167,3"
"3.52533,3"
"3.52900,3"
"3.53267,3"
"3.53633,3"
"3.54000,3"
"3.54367,3"
"3.54733,3"
"3.55100,3"
"3.55467,3"
"3.55833,2"
"3.56200,2"
"3.56567,2"
"3.56933,2"
"3.57300,2"
"3.57667,2"
"3.58033,2"
"3.58400,2"
"3.58767,2"
"3.59133,2"
"3.59500,2"
"3.59867,2"
"3.60233,2"
"3.60600,1"
"3.60967,1"
"3.61333,1"
"3.61700,1"
"3.62067,1"
"3.62433,1"
"3.62800,1"
"3.63167,0"
"3.63533,0"
"3.63900,0"
"3.64267,0"
"3.64633,0"
"3.65000,0"
"3.65367,0"
"3.65733,0"
"3.66100,1"
"3.66467,1"
"3.66833,1"
"3.67200,1"
"3.67567,1"
"3.67933,1"
"3.68300,1"
"3.68667,1"
"3.69033,0"
"3.69400,0"
"3.69767,0"
"3.70133,-0"
"3.70500,-0"
"3.70867,-0"
"3.71233,-1"
"3.71600,-1"
"3.71967,-1"
"3.72333,-2"
"3.72700,-2"
"3.73067,-2"
"3.73433,-2"
"3.73800,-2"
"3.74167,-2"
"3.74533,-2"
"3.74900,-2"
"3.75267,-2"
"3.75633,-3"
"3.76000,-3"
"3.76367,-3"
"3.76733,-3"
"3.77100,-3"
"3.77467,-3"
"3.77833,-2"
"3.78200,-2"
"3.78567,-2"
"3.78933,-2"
"3.79300,-2"
"3.79667,-1"
"3.80033,-1"
"3.80400,-1"
"3.80767,-1"
"3.81133,-1"
"3.81500,-2"
"3.81867,-2"
"3.82233,-2"
"3.82600,-2"
"3.82967,-2"
"3.83333,-2"
"3.83700,-3"
"3.84067,-3"
"3.84433,-3"
"3.84800,-3"
"3.85167,-3"
"3.85533,-4"
"3.85900,-4"
"3.86267,-4"
"3.86633,-4"
"3.87000,-4"
"3.87367,-4"
"3.87733,-4"
"3.88100,-4"
"3.88467,-4"
"3.88833,-4"
"3.89200,-4"
"3.89567,-4"
"3.89933,-4"
"3.90300,-4"
"3.90667,-4"
"3.91033,-4"
"3.91400,-4"
"3.91767,-4"
"3.92133,-4"
"3.92500,-4"
"3.92867,-4"
"3.93233,-4"
"3.93600,-4"
"3.93967,-4"
"3.94333,-4"
"3.94700,-4"
"3.95067,-4"
"3.95433,-4"
"3.95800,-4"
"3.96167,-4"
"3.96533,-4"
"3.96900,-4"
"3.97267,-4"
"3.97633,-4"
"3.98000,-4"
"3.98367,-4"
"3.98733,-4"
"3.99100,-4"
"3.99467,-4"
"3.99833,-5"
"4.00200,-5"
"4.00567,-5"
"4.00933,-5"
"4.01300,-4"
"4.01667,-4"
"4.02033,-4"
"4.02400,-4"
"4.02767,-4"
"4.03133,-4"
"4.03500,-4"
"4.03867,-4"
"4.04233,-5"
"4.04600,-5"
"4.04967,-5"
"4.05333,-5"
"4.05700,-5"
"4.06067,-6"
"4.06433,-6"
"4.06800,-6"
"4.07167,-6"
"4.07533,-6"
"4.07900,-6"
"4.08267,-6"
"4.08633,-6"
"4.09000,-6"
"4.09367,-6"
"4.09733,-6"
"4.10100,-6"
"4.10467,-6"
"4.10833,-5"
"4.11200,-5"
"4.11567,-5"
"4.11933,-5"
"4.12300,-6"
"4.12667,-6"
"4.13033,-6"
"4.13400,-7"
"4.13767,-7"
"4.14133,-7"
"4.14500,-7"
"4.14867,-7"
"4.15233,-7"
"4.15600,-7"
"4.15967,-7"
"4.16333,-7"
"4.16700,-6"
"4.17067,-6"
"4.17433,-6"
"4.17800,-6"
"4.18167,-6"
"4.18533,-7"
"4.18900,-7"
"4.19267,-7"
"4.19633,-7"
"4.20000,-7"
"4.20367,-7"
"4.20733,-7"
"4.21100,-7"
"4.21467,-8"
"4.21833,-8"
"4.22200,-8"
"4.22567,-8"
"4.22933,-8"
"4.23300,-8"
"4.23667,-8"
"4.24033,-8"
"4.24400,-8"
"4.24767,-8"
"4.25133,-8"
"4.25500,-8"
"4.25867,-8"
"4.26233,-8"
"4.26600,-8"
"4.26967,-8"
"4.27333,-8"
"4.27700,-8"
"4.28067,-8"
"4.28433,-9"
"4.28800,-9"
"4.29167,-9"
"4.29533,-9"
"4.29900,-9"
"4.30267,-9"
"4.30633,-10"
"4.31000,-10"
"4.31367,-10"
"4.31733,-11"
"4.32100,-11"
"4.32467,-11"
"4.32833,-11"
"4.33200,-11"
"4.33567,-11"
"4.33933,-11"
"4.34300,-11"
"4.34667,-11"
"4.35033,-11"
"4.35400,-11"
"4.35767,-11"
"4.36133,-11"
"4.36500,-11"
"4.36867,-10"
"4.37233,-10"
"4.37600,-10"
"4.37967,-10"
"4.38333,-10"
"4.38700,-10"
"4.39067,-10"
"4.39433,-10"
"4.39800,-10"
"4.40167,-10"
"4.40533,-10"
"4.40900,-10"
"4.41267,-10"
"4.41633,-10"
"4.42000,-9"
"4.42367,-9"
"4.42733,-9"
"4.43100,-9"
"4.43467,-9"
"4.43833,-9"
"4.44200,-9"
"4.44567,-10"
"4.44933,-10"
"4.45300,-10"
"4.45667,-10"
"4.46033,-10"
"4.46400,-11"
"4.46767,-11"
"4.47133,-11"
"4.47500,-11"
"4.47867,-11"
"4.48233,-12"
"4.48600,-12"
"4.48967,-12"
"4.49333,-12"
"4.49700,-13"
"4.50067,-13"
"4.50433,-13"
"4.50800,-13"
"4.51167,-13"
"4.51533,-13"
"4.51900,-13"
"4.52267,-13"
"4.52633,-13"
"4.53000,-13"
"4.53367,-13"
"4.53733,-13"
"4.54100,-13"
"4.54467,-13"
"4.54833,-13"
"4.55200,-13"
"4.55567,-13"
"4.55933,-13"
"4.56300,-14"
"4.56667,-13"
"4.57033,-13"
"4.57400,-13"
"4.57767,-14"
"4.58133,-14"
"4.58500,-14"
"4.58867,-14"
"4.59233,-14"
"4.59600,-14"
"4.59967,-14"
"4.60333,-14"
"4.60700,-14"
"4.61067,-14"
"4.61433,-14"
"4.61800,-14"
"4.62167,-14"
"4.62533,-15"
"4.62900,-15"
"4.63267,-15"
"4.63633,-15"
"4.64000,-15"
"4.64367,-15"
"4.64733,-15"
"4.65100,-15"
"4.65467,-15"
"4.65833,-15"
"4.66200,-15"
"4.66567,-15"
"4.66933,-15"
"4.67300,-15"
"4.67667,-15"
"4.68033,-16"
"4.68400,-16"
"4.68767,-16"
"4.69133,-16"
"4.69500,-16"
"4.69867,-16"
"4.70233,-16"
"4.70600,-16"
"4.70967,-16"
"4.71333,-16"
"4.71700,-15"
"4.72067,-15"
"4.72433,-15"
"4.72800,-15"
"4.73167,-15"
"4.73533,-15"
"4.73900,-15"
"4.74267,-15"
"4.74633,-15"
"4.75000,-15"
"4.75367,-15"
"4.75733,-15"
"4.76100,-15"
"4.76467,-15"
"4.76833,-15"
"4.77200,-15"
"4.77567,-15"
"4.77933,-15"
"4.78300,-15"
"4.78667,-15"
"4.79033,-15"
"4.79400,-15"
"4.79767,-14"
"4.80133,-14"
"4.80500,-14"
"4.80867,-15"
"4.81233,-15"
"4.81600,-15"
"4.81967,-15"
"4.82333,-15"
"4.82700,-16"
"4.83067,-16"
"4.83433,-16"
"4.83800,-16"
"4.84167,-16"
"4.84533,-16"
"4.84900,-17"
"4.85267,-17"
"4.85633,-17"
"4.86000,-17"
"4.86367,-17"
"4.86733,-17"
"4.87100,-17"
"4.87467,-17"
"4.87833,-18"
"4.88200,-18"
"4.88567,-18"
"4.88933,-19"
"4.89300,-19"
"4.89667,-19"
"4.90033,-19"
"4.90400,-20"
"4.90767,-20"
"4.91133,-20"
"4.91500,-20"
"4.91867,-20"
"4.92233,-20"
"4.92600,-20"
"4.92967,-20"
"4.93333,-20"
"4.93700,-20"
"4.94067,-19"
"4.94433,-19"
"4.94800,-19"
"4.95167,-19"
"4.95533,-19"
"4.95900,-19"
"4.96267,-19"
"4.96633,-19"
"4.97000,-19"
"4.97367,-18"
"4.97733,-18"
"4.98100,-18"
"4.98467,-18"
"4.98833,-18"
"4.99200,-18"
"4.99567,-18"
"4.99933,-19"
"5.00300,-19"
"5.00667,-19"
"5.01033,-19"
"5.01400,-19"
"5.01767,-20"
"5.02133,-20"
"5.02500,-20"
"5.02867,-20"
"5.03233,-20"
"5.03600,-20"
"5.03967,-20"
"5.04333,-20"
"5.04700,-20"
"5.05067,-20"
"5.05433,-20"
"5.05800,-20"
"5.06167,-20"
"5.06533,-20"
"5.06900,-20"
"5.07267,-20"
"5.07633,-20"
"5.08000,-21"
"5.08367,-21"
"5.08733,-21"
"5.09100,-21"
"5.09467,-22"
"5.09833,-22"
"5.10200,-22"
"5.10567,-22"
"5.10933,-22"
"5.11300,-22"
"5.11667,-22"
"5.12033,-23"
"5.12400,-23"
"5.12767,-23"
"5.13133,-23"
"5.13500,-23"
"5.13867,-22"
"5.14233,-22"
"5.14600,-22"
"5.14967,-23"
"5.15333,-23"
"5.15700,-23"
"5.16067,-23"
"5.16433,-23"
"5.16800,-23"
"5.17167,-23"
"5.17533,-23"
"5.17900,-23"
"5.18267,-23"
"5.18633,-23"
"5.19000,-23"
"5.19367,-23"
"5.19733,-22"
"5.20100,-23"
"5.20467,-23"
"5.20833,-23"
"5.21200,-23"
"5.21567,-23"
"5.21933,-23"
"5.22300,-22"
"5.22667,-23"
"5.23033,-23"
"5.23400,-23"
"5.23767,-23"
"5.24133,-24"
"5.24500,-24"
"5.24867,-25"
"5.25233,-25"
"5.25600,-25"
"5.25967,-25"
"5.26333,-25"
"5.26700,-25"
"5.27067,-25"
"5.27433,-25"
"5.27800,-25"
"5.28167,-25"
"5.28533,-25"
"5.28900,-25"
"5.29267,-25"
"5.29633,-25"
"5.30000,-25"
"5.30367,-25"
"5.30733,-25"
"5.31100,-25"
"5.31467,-25"
"5.31833,-25"
"5.32200,-25"
"5.32567,-25"
"5.32933,-25"
"5.33300,-25"
"5.33667,-25"
"5.34033,-25"
"5.34400,-25"
"5.34767,-24"
"5.35133,-24"
"5.35500,-25"
"5.35867,-25"
"5.36233,-25"
"5.36600,-25"
"5.36967,-25"
"5.37333,-25"
"5.37700,-25"
"5.38067,-25"
"5.38433,-25"
"5.38800,-25"
"5.39167,-25"
"5.39533,-25"
"5.39900,-25"
"5.40267,-25"
"5.40633,-25"
"5.41000,-25"
"5.41367,-25"
"5.41733,-25"
"5.42100,-25"
"5.42467,-25"
"5.42833,-25"
"5.43200,-26"
"5.43567,-26"
"5.43933,-26"
"5.44300,-26"
"5.44667,-26"
"5.45033,-27"
"5.45400,-27"
"5.45767,-27"
"5.46133,-27"
"5.46500,-27"
"5.46867,-27"
"5.47233,-27"
"5.47600,-27"
"5.47967,-27"
"5.48333,-27"
"5.48700,-27"
"5.49067,-27"
"5.49433,-27"
"5.49800,-28"
"5.50167,-28"
"5.50533,-28"
"5.50900,-28"
"5.51267,-28"
"5.51633,-28"
"5.52000,-28"
"5.52367,-28"
"5.52733,-29"
"5.53100,-29"
"5.53467,-29"
"5.53833,-29"
"5.54200,-29"
"5.54567,-29"
"5.54933,-29"
"5.55300,-29"
"5.55667,-29"
"5.56033,-28"
"5.56400,-28"
"5.56767,-28"
"5.57133,-28"
"5.57500,-28"
"5.57867,-28"
"5.58233,-28"
"5.58600,-28"
"5.58967,-28"
"5.59333,-28"
"5.59700,-28"
"5.60067,-29"
"5.60433,-29"
"5.60800,-29"
"5.61167,-29"
"5.61533,-29"
"5.61900,-29"
"5.62267,-29"
"5.62633,-29"
"5.63000,-29"
"5.63367,-29"
"5.63733,-29"
"5.64100,-29"
"5.64467,-29"
"5.64833,-29"
"5.65200,-29"
"5.65567,-29"
"5.65933,-29"
"5.66300,-29"
"5.66667,-29"
"5.67033,-29"
"5.67400,-29"
"5.67767,-29"
"5.68133,-29"
"5.68500,-29"
"5.68867,-29"
"5.69233,-30"
"5.69600,-30"
"5.69967,-30"
"5.70333,-30"
"5.70700,-30"
"5.71067,-31"
"5.71433,-31"
"5.71800,-31"
"5.72167,-31"
"5.72533,-31"
"5.72900,-31"
"5.73267,-31"
"5.73633,-31"
"5.74000,-31"
"5.74367,-32"
"5.74733,-32"
"5.75100,-32"
"5.75467,-32"
"5.75833,-32"
"5.76200,-32"
"5.76567,-32"
"5.76933,-32"
"5.77300,-32"
"5.77667,-32"
"5.78033,-32"
"5.78400,-32"
"5.78767,-31"
"5.79133,-31"
"5.79500,-31"
"5.79867,-31"
"5.80233,-31"
"5.80600,-31"
"5.80967,-31"
"5.81333,-31"
"5.81700,-31"
"5.82067,-32"
"5.82433,-32"
"5.82800,-32"
"5.83167,-32"
"5.83533,-32"
"5.83900,-32"
"5.84267,-32"
"5.84633,-32"
"5.85000,-32"
"5.85367,-32"
"5.85733,-32"
"5.86100,-32"
"5.86467,-33"
"5.86833,-33"
"5.87200,-33"
"5.87567,-33"
"5.87933,-34"
"5.88300,-34"
"5.88667,-34"
"5.89033,-34"
"5.89400,-34"
"5.89767,-34"
"5.90133,-34"
"5.90500,-34"
"5.90867,-34"
"5.91233,-34"
"5.91600,-34"
"5.91967,-34"
"5.92333,-34"
"5.92700,-34"
"5.93067,-33"
"5.93433,-33"
"5.93800,-33"
"5.94167,-33"
"5.94533,-33"
"5.94900,-33"
"5.95267,-33"
"5.95633,-33"
"5.96000,-33"
"5.96367,-33"
"5.96733,-33"
"5.97100,-33"
"5.97467,-33"
"5.97833,-33"
"5.98200,-33"
"5.98567,-34"
"5.98933,-34"
"5.99300,-34"
"5.99667,-34"
"6.00033,-35"
"6.00400,-35"
"6.00767,-35"
"6.01133,-35"
"6.01500,-34"
"6.01867,-34"
"6.02233,-34"
"6.02600,-34"
"6.02967,-34"
"6.03333,-34"
"6.03700,-34"
"6.04067,-35"
"6.04433,-35"
"6.04800,-35"
"6.05167,-36"
"6.05533,-36"
"6.05900,-36"
"6.06267,-36"
"6.06633,-37"
"6.07000,-37"
"6.07367,-37"
"6.07733,-37"
"6.08100,-37"
"6.08467,-37"
"6.08833,-38"
"6.09200,-38"
"6.09567,-38"
"6.09933,-37"
"6.10300,-37"
"6.10667,-37"
"6.11033,-37"
"6.11400,-37"
"6.11767,-37"
"6.12133,-37"
"6.12500,-37"
"6.12867,-37"
"6.13233,-37"
"6.13600,-37"
"6.13967,-37"
"6.14333,-37"
"6.14700,-38"
"6.15067,-38"
"6.15433,-38"
"6.15800,-38"
"6.16167,-38"
"6.16533,-39"
"6.16900,-39"
"6.17267,-39"
"6.17633,-39"
"6.18000,-39"
"6.18367,-39"
"6.18733,-40"
"6.19100,-40"
"6.19467,-40"
"6.19833,-40"
"6.20200,-40"
"6.20567,-40"
"6.20933,-39"
"6.21300,-39"
"6.21667,-39"
"6.22033,-39"
"6.22400,-39"
"6.22767,-38"
"6.23133,-38"
"6.23500,-38"
"6.23867,-38"
"6.24233,-38"
"6.24600,-38"
"6.24967,-38"
"6.25333,-38"
"6.25700,-38"
"6.26067,-38"
"6.26433,-39"
"6.26800,-39"
"6.27167,-39"
"6.27533,-39"
"6.27900,-39"
"6.28267,-39"
"6.28633,-39"
"6.29000,-39"
"6.29367,-39"
"6.29733,-40"
"6.30100,-40"
"6.30467,-40"
"6.30833,-40"
"6.31200,-41"
"6.31567,-41"
"6.31933,-41"
"6.32300,-41"
"6.32667,-41"
"6.33033,-41"
"6.33400,-41"
"6.33767,-41"
"6.34133,-41"
"6.34500,-41"
"6.34867,-41"
"6.35233,-41"
"6.35600,-41"
"6.35967,-41"
"6.36333,-42"
"6.36700,-42"
"6.37067,-42"
"6.37433,-42"
"6.37800,-42"
"6.38167,-42"
"6.38533,-42"
"6.38900,-42"
"6.39267,-42"
"6.39633,-42"
"6.40000,-42"
"6.40367,-42"
"6.40733,-42"
"6.41100,-41"
"6.41467,-41"
"6.41833,-41"
"6.42200,-42"
"6.42567,-42"
"6.42933,-42"
"6.43300,-42"
"6.43667,-42"
"6.44033,-42"
"6.44400,-43"
"6.44767,-43"
"6.45133,-43"
"6.45500,-43"
"6.45867,-43"
"6.46233,-43"
"6.46600,-43"
"6.46967,-43"
"6.47333,-44"
"6.47700,-44"
"6.48067,-44"
"6.48433,-44"
"6.48800,-44"
"6.49167,-44"
"6.49533,-44"
"6.49900,-44"
"6.50267,-44"
"6.50633,-44"
"6.51000,-44"
"6.51367,-44"
"6.51733,-44"
"6.52100,-44"
"6.52467,-44"
"6.52833,-44"
"6.53200,-44"
"6.53567,-44"
"6.53933,-44"
"6.54300,-44"
"6.54667,-44"
"6.55033,-44"
"6.55400,-44"
"6.55767,-44"
"6.56133,-44"
"6.56500,-43"
"6.56867,-43"
"6.57233,-43"
"6.57600,-43"
"6.57967,-42"
"6.58333,-43"
"6.58700,-43"
"6.59067,-43"
"6.59433,-43"
"6.59800,-43"
"6.60167,-43"
"6.60533,-43"
"6.60900,-44"
"6.61267,-44"
"6.61633,-44"
"6.62000,-45"
"6.62367,-45"
"6.62733,-46"
"6.63100,-46"
"6.63467,-46"
"6.63833,-47"
"6.64200,-47"
"6.64567,-47"
"6.64933,-47"
"6.65300,-47"
"6.65667,-47"
"6.66033,-48"
"6.66400,-48"
"6.66767,-48"
"6.67133,-48"
"6.67500,-48"
"6.67867,-48"
"6.68233,-48"
"6.68600,-48"
"6.68967,-48"
"6.69333,-48"
"6.69700,-48"
"6.70067,-48"
"6.70433,-48"
"6.70800,-48"
"6.71167,-48"
"6.71533,-48"
"6.71900,-49"
"6.72267,-49"
"6.72633,-49"
"6.73000,-49"
"6.73367,-49"
"6.73733,-49"
"6.74100,-49"
"6.74467,-49"
"6.74833,-49"
"6.75200,-49"
"6.75567,-49"
"6.75933,-49"
"6.76300,-49"
"6.76667,-49"
"6.77033,-49"
"6.77400,-49"
"6.77767,-49"
"6.78133,-49"
"6.78500,-49"
"6.78867,-49"
"6.79233,-49"
"6.79600,-49"
"6.79967,-49"
"6.80333,-49"
"6.80700,-49"
"6.81067,-49"
"6.81433,-49"
"6.81800,-49"
"6.82167,-49"
"6.82533,-49"
"6.82900,-49"
"6.83267,-49"
"6.83633,-49"
"6.84000,-49"
"6.84367,-50"
"6.84733,-50"
"6.85100,-50"
"6.85467,-51"
"6.85833,-51"
"6.86200,-50"
"6.86567,-50"
"6.86933,-50"
"6.87300,-50"
"6.87667,-50"
"6.88033,-50"
"6.88400,-50"
"6.88767,-50"
"6.89133,-50"
"6.89500,-50"
"6.89867,-50"
"6.90233,-50"
"6.90600,-51"
"6.90967,-51"
"6.91333,-51"
"6.91700,-51"
"6.92067,-51"
"6.92433,-51"
"6.92800,-51"
"6.93167,-52"
"6.93533,-52"
"6.93900,-52"
"6.94267,-52"
"6.94633,-52"
"6.95000,-52"
"6.95367,-52"
"6.95733,-52"
"6.96100,-52"
"6.96467,-52"
"6.96833,-52"
"6.97200,-52"
"6.97567,-52"
"6.97933,-52"
"6.98300,-52"
"6.98667,-52"
"6.99033,-52"
"6.99400,-53"
"6.99767,-53"
"7.00133,-53"
"7.00500,-53"
"7.00867,-53"
"7.01233,-53"
"7.01600,-53"
"7.01967,-53"
"7.02333,-53"
"7.02700,-53"
"7.03067,-53"
"7.03433,-54"
"7.03800,-53"
"7.04167,-53"
"7.04533,-53"
"7.04900,-53"
"7.05267,-53"
"7.05633,-54"
"7.06000,-54"
"7.06367,-54"
"7.06733,-54"
"7.07100,-54"
"7.07467,-54"
"7.07833,-54"
"7.08200,-55"
"7.08567,-55"
"7.08933,-55"
"7.09300,-55"
"7.09667,-55"
"7.10033,-55"
"7.10400,-55"
"7.10767,-55"
"7.11133,-55"
"7.11500,-55"
"7.11867,-55"
"7.12233,-55"
"7.12600,-55"
"7.12967,-56"
"7.13333,-56"
"7.13700,-56"
"7.14067,-56"
"7.14433,-56"
"7.14800,-56"
"7.15167,-56"
"7.15533,-56"
"7.15900,-56"
"7.16267,-57"
"7.16633,-57"
"7.17000,-57"
"7.17367,-57"
"7.17733,-57"
"7.18100,-57"
"7.18467,-57"
"7.18833,-57"
"7.19200,-57"
"7.19567,-57"
"7.19933,-57"

[Chromatogram (Ch3)]
"Interval(msec),220"
"# of Points,1964"
"Start Time(min),0.002"
"End Time(min),7.199"
"R.Time (min),Intensity"
"0.00167,2"
"0.00533,5"
"0.00900,9"
"0.01267,10"
"0.01633,10"
"0.02000,8"
"0.02367,7"
"0.02733,8"
"0.03100,6"
"0.03467,5"
"0.03833,8"
"0.04200,11"
"0.04567,9"
"0.04933,6"
"0.05300,5"
"0.05667,2"
"0.06033,-1"
"0.06400,-4"
"0.06767,-5"
"0.07133,1"
